participant,complexity,interval_length,tasks_completed,accuracy
18,Easy,30,67,0.9552238805970149
18,Medium,10,20,0.85
18,Medium,20,22,0.7272727272727273
18,Medium,30,26,0.7307692307692307
18,Hard,10,19,0.5789473684210527
18,Hard,20,22,0.5
18,Hard,30,19,0.7894736842105263
19,Easy,10,60,0.8
19,Easy,20,64,0.796875
19,Easy,30,62,0.8709677419354839
19,Medium,10,39,0.5641025641025641
19,Medium,20,37,0.8648648648648649
19,Medium,30,37,0.9459459459459459
19,Hard,10,24,0.375
19,Hard,20,25,0.68
19,Hard,30,27,0.5185185185185185
